CBANK,FREQ,P3,P2,P1,P0
39,4178309521.63,-0.0008,0.0053,0.0015,0.9975
40,4193315215.72,-0.0015,0.0066,0.0009,0.9975
41,4196756099.69,-0.001,0.0057,0.0012,0.9975
42,4200572252.38,-0.0015,0.0066,0.0009,0.9975
43,4204094124.35,-0.0005,0.0049,0.0015,0.9974
44,4208683383.02,-0.0011,0.0056,0.0015,0.9975
45,4212144705.6,-0.0018,0.0069,0.0008,0.9975
46,4216074721.13,-0.0015,0.0063,0.0012,0.9975
47,4219614047.66,-0.0018,0.0069,0.0008,0.9975
48,4235770200.97,-0.0007,0.0048,0.0021,0.9972
49,4239322523.62,-0.0007,0.0048,0.0021,0.9972
50,4243255934.23,0,0.0039,0.0022,0.9973
51,4246890669.86,0,0.0037,0.0024,0.9972
52,4251594074.65,-0.001,0.0057,0.0015,0.9973
53,4255163502.5,-0.001,0.0057,0.0015,0.9973
54,4259213263.83,-0.0005,0.0049,0.0019,0.9973
55,4262868380.45,-0.0005,0.0049,0.0019,0.9973
56,4278353535.9,-0.0014,0.0065,0.0011,0.9973
57,4281992888.8,-0.0014,0.0066,0.0011,0.9973
58,4286046685.64,-0.0005,0.0047,0.002,0.9973
59,4289766577.2,-0.0009,0.0055,0.0018,0.9973
60,4294664058.95,-0.001,0.0058,0.0016,0.9973
61,4298323578.89,-0.0009,0.0055,0.0018,0.9973
62,4302498502.37,-0.0014,0.0065,0.0011,0.9973
63,4306240398.85,-0.0018,0.0072,0.0008,0.9973
64,4288294812.96,-0.0007,0.0049,0.0021,0.9971
65,4291975039.95,-0.0003,0.0046,0.0022,0.9971
66,4296014428.4,-0.0019,0.0075,0.0007,0.9973
67,4299778397.82,-0.0015,0.0066,0.0012,0.9973
68,4304583695.97,-0.0019,0.0072,0.001,0.9973
69,4308283006.7,-0.0011,0.0062,0.0013,0.9973
70,4312448007.07,-0.0003,0.0046,0.0021,0.9971
71,4316235855.76,-0.0018,0.0075,0.0007,0.9973
72,4333129970.96,-0.0015,0.0069,0.0011,0.9973
73,4336908869.13,-0.0009,0.0054,0.0019,0.9971
74,4341078139.57,-0.0012,0.0063,0.0015,0.9972
75,4344938564.09,-0.0015,0.0068,0.0012,0.9971
76,4349950243.37,-0.0009,0.006,0.0014,0.9971
77,4353750902.85,-0.0012,0.0061,0.0017,0.9971
78,4358050540.62,-0.0013,0.0068,0.001,0.9973
79,4361937243.91,-0.0012,0.0061,0.0017,0.9971
80,4379530621.95,-0.001,0.006,0.0017,0.9971
81,4383436903.05,-0.0014,0.0065,0.0016,0.997
82,4387742540.6,-0.001,0.006,0.0017,0.9971
83,4391740594.93,-0.0014,0.0066,0.0015,0.997
84,4396897846.11,-0.001,0.0061,0.0015,0.9971
85,4400833005.75,-0.0014,0.0067,0.0014,0.9972
86,4405268521.08,-0.001,0.006,0.0017,0.9971
87,4409290215.68,-0.0012,0.0064,0.0016,0.9969
88,4426744049.53,-0.0011,0.0065,0.0014,0.9971
89,4430760014.58,-0.0015,0.0066,0.0017,0.9969
90,4435213478.79,-0.0012,0.0063,0.0016,0.9969
91,4439317996.02,-0.0009,0.0059,0.0019,0.997
92,4444693167.6,-0.0014,0.0066,0.0016,0.9969
93,4448736481.69,-0.0013,0.0066,0.0017,0.997
94,4453317591.58,-0.0009,0.0058,0.0021,0.9969
95,4457451038.06,-0.0016,0.0073,0.0012,0.997
96,4472045823.94,-0.0016,0.0073,0.0012,0.997
97,4476210121.86,-0.0013,0.0064,0.0019,0.9968
98,4480793413.16,-0.0018,0.0074,0.0015,0.9968
99,4485051525.37,-0.0015,0.0071,0.0015,0.997
100,4490540156.84,-0.0016,0.0072,0.0012,0.997
101,4494735775.4,-0.0018,0.0073,0.0015,0.9968
102,4499458410.01,-0.0018,0.0073,0.0015,0.9968
103,4503752802.84,-0.0018,0.0074,0.0015,0.997
104,4520981641.56,-0.0011,0.0062,0.002,0.9967
105,4525264032.24,-0.0011,0.0063,0.0019,0.997
106,4529997020.19,-0.0011,0.0064,0.0018,0.997
